NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難場所(所)との重複,想定収容人数,指定の有無,対象となる町会・自治会,URL,備考
42,大崎中央高等学校,オオサキチュウオウコウトウガッコウ,宮城県大崎市古川福沼一丁目27-1,,38.581436,140.973755,,0229-22-2030,,42153,宮城県,大崎市,,1,,1,,,,,1,496,1,,,"収容地区：北町南,福沼一"
43,荒雄公園,アラオコウエン,宮城県大崎市古川福沼一丁目2,,38.581548,140.972099,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
44,市民ﾌﾟｰﾙ,シミンプール,宮城県大崎市古川福沼一丁目15-1,,38.58382,140.975172,,0229-24-5000,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
45,古川第二小学校,フルカワダイニショウガッコウ,宮城県大崎市古川福沼三丁目16-1,,38.576871,140.976277,,0229-22-0540,,42153,宮城県,大崎市,1,1,,1,,,,,1,525,1,,,"洪水時校舎２階。収容地区：東町,北町中,福沼二,福沼三,李埣西一,李埣西二,李埣東,鶴ヶ埣"
46,福沼児童遊園地,フクヌマジドウユウエンチ,宮城県大崎市古川福沼二丁目3,,38.575401,140.978551,,－,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
47,古川東児童ｾﾝﾀｰ,フルカワヒガシジドウセンター,宮城県大崎市古川駅東二丁目6-32,,38.574689,140.972906,,0229-23-1055,,42153,宮城県,大崎市,,1,,1,,,,,,0,1,,,
48,古川東中学校,フルカワヒガシチュウガッコウ,宮城県大崎市古川旭四丁目5-1,,38.564721,140.973326,,0229-24-0444,,42153,宮城県,大崎市,1,1,,1,,,,,1,752,1,,,"洪水時校舎２階。収容地区：神田,蓑口沼,馬寄"
49,古川勤労者体育ｾﾝﾀｰ,フルカワキンロウシャタイイクセンター,宮城県大崎市古川旭四丁目5-2,,38.564226,140.975195,,0229-24-0511,,42153,宮城県,大崎市,,1,,1,,,,,1,250,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
50,旧古川東部ｺﾐｭﾆﾃｨｾﾝﾀｰ,キュウフルカワトウブコミュニティセンター,宮城県大崎市古川李埣三丁目1-3,,38.571498,140.978759,,－,,42153,宮城県,大崎市,,1,,1,,,,,,90,1,,,
51,古川志田東部ｺﾐｭﾆﾃｨｾﾝﾀｰ,フルカワシダトウブコミュニティセンター,宮城県大崎市古川穂波八丁目15-15,,38.570931,140.938783,,0229-23-9747,,42153,宮城県,大崎市,,1,,1,,,,,,84,1,,,
52,旧志田小学校,キュウシダショウガッコウ,宮城県大崎市古川飯川字熊野40-2,,38.571258,140.914604,,0229-26-2327,,42153,宮城県,大崎市,1,1,,1,,,,,1,513,1,,,収容地区：志田地区全行政区
53,古川志田地区公民館,フルカワシダチクコウミンカン,宮城県大崎市古川飯川字熊野59,,38.571179,140.912985,,0229-26-2340,,42153,宮城県,大崎市,1,1,,1,,,,,1,135,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
54,古川西小中学校,フルカワニシショウチュウガッコウ,宮城県大崎市古川渋井字全壮191,,38.586375,140.908221,,0229-26-2114,,42153,宮城県,大崎市,1,1,,1,,,,,1,690,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
55,西古川児童遊園,ニシフルカワジドウユウエン,宮城県大崎市古川新堀字東田1-18,,38.578646,140.894351,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
56,"大崎市立おおさき日本語学校
　（旧西古川小学校）",オオサキシリツオオサキニホンゴガッコウ,宮城県大崎市古川保柳字氏子114-1,,38.582746,140.895585,,0229-23-2111,,42153,宮城県,大崎市,1,1,,1,,,,,1,559,1,,,収容地区：西古川地区全行政区
57,西古川地区公民館,ニシフルカワチクコウミンカン,宮城県大崎市古川保柳字氏子202,,38.582544,140.896704,,0229-26-2118,,42153,宮城県,大崎市,,1,,1,,,,,1,127,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
58,旧東大崎小学校,キュウヒガシオオサキショウガッコウ,宮城県大崎市古川大崎字伏見梅田19,,38.603143,140.912089,,0229-26-3533,,42153,宮城県,大崎市,1,1,,1,,,,,1,648,1,,,収容地区：東大崎地区全行政区
59,古川東大崎地区公民館,フルカワヒガシオオサキチクコウミンカン,宮城県大崎市古川大崎字朝日32,,38.603853,140.91078,,0229-26-4224,,42153,宮城県,大崎市,1,1,,1,,,,,1,141,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
60,旧宮沢小学校,キュウミヤザワショウガッコウ,宮城県大崎市古川宮沢字新田町34,,38.617158,140.941213,,0229-28-1605,,42153,宮城県,大崎市,1,1,,1,,,,,1,513,1,,,洪水時校舎２階。収容地区：宮沢地区全行政区
61,古川宮沢地区公民館,フルカワミヤザワチクコウミンカン,宮城県大崎市古川小林字新一本杉170,,38.615722,140.941752,,0229-28-1875,,42153,宮城県,大崎市,,1,,1,,,,,1,204,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
62,愛宕山公園,アタゴヤマコウエン,宮城県大崎市古川宮沢字愛宕山11-17,,38.625277,140.950085,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
63,古川北小学校,フルカワキタショウガッコウ,宮城県大崎市古川荒谷字樋ノ口62-2,,38.616432,140.976095,,0229-28-2202,,42153,宮城県,大崎市,1,1,,1,,,,,1,546,1,,,洪水時校舎２階。収容地区：長岡地区全行政区
64,古川長岡地区公民館,フルカワナガオカチクコウミンカン,宮城県大崎市古川荒谷字新樋ノ口81,,38.61674,140.975654,,0229-28-3111,,42153,宮城県,大崎市,,1,,1,,,,,1,140,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
65,古川北中学校,フルカワキタチュウガッコウ,宮城県大崎市古川荒谷字権現山5,,38.618592,140.971917,,0229-28-2103,,42153,宮城県,大崎市,1,1,,1,,,,,1,611,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
66,"JA古川本店
　（旧富永小学校）",ジェイエーフルカワホンテン,宮城県大崎市古川富長字新五右衛門6-2,,38.594393,140.986178,,0229-87-8051,,42153,宮城県,大崎市,1,1,,1,,,,,1,522,1,,,洪水時校舎２階。収容地区：富永地区全行政区
67,古川富永地区公民館,フルカワトミナガチクコウミンカン,宮城県大崎市古川富長字新五右衛門6-2,,38.593673,140.986723,,0229-28-2588,,42153,宮城県,大崎市,,1,,1,,,,,1,128,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
68,敷玉小学校,シキタマショウガッコウ,宮城県大崎市古川石森字石神10-1,,38.545305,140.991078,,0229-23-3966,,42153,宮城県,大崎市,1,1,,1,,,,,1,545,1,,,洪水時校舎２階。収容地区：敷玉地区全行政区
69,古川敷玉地区公民館,フルカワシキタマチクコウミンカン,宮城県大崎市古川石森字石神69,,38.545188,140.992572,,0229-24-0750,,42153,宮城県,大崎市,,1,,1,,,,,1,136,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
70,旧高倉小学校,キュウタカクラショウガッコウ,宮城県大崎市古川中沢字中沢屋敷242,,38.53853,140.914926,,0229-52-2130,,42153,宮城県,大崎市,1,1,,1,,,,,1,399,1,,,洪水時校舎２階。収容地区：高倉地区全行政区
71,古川高倉地区公民館,フルカワタカクラチクコウミンカン,宮城県大崎市古川中沢字中沢屋敷242,,38.53898,140.914399,,0229-52-2399,,42153,宮城県,大崎市,,1,,1,,,,,1,175,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
72,旧清滝小学校,キュウキヨタキショウガッコウ,宮城県大崎市古川清水沢字長泥30-2,,38.659485,140.966894,,0229-29-2224,,42153,宮城県,大崎市,1,1,,1,,,,,1,513,1,,,収容地区：清滝地区全行政区
73,古川清滝地区公民館,フルカワキヨタキチクコウミンカン,宮城県大崎市古川清水沢字長泥30-2,,38.659027,140.966421,,0229-29-2226,,42153,宮城県,大崎市,1,1,,1,,,,,1,131,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
74,松山小学校,マツヤマショウガッコウ,宮城県大崎市松山千石字舛形133,,38.516261,141.057884,,0229-55-3129,,42153,宮城県,大崎市,,1,,1,,,,,1,2686,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
75,松山保健福祉ｾﾝﾀｰ,マツヤマホケンフクシセンター,宮城県大崎市松山千石字広田11,,38.515127,141.06064,,0229-55-2114,,42153,宮城県,大崎市,,1,,1,,,,,,1162,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
76,松山総合支所分庁舎,マツヤマソウゴウシショブンチョウシャ,宮城県大崎市松山千石字千石広田30,,38.514229,141.059803,,0229-55-2111,,42153,宮城県,大崎市,,1,,1,,,,,1,53,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
77,松山体育館,マツヤマタイイクカン,宮城県大崎市松山千石字松山34-1,,38.510631,141.051539,,0229-55-2215,,42153,宮城県,大崎市,1,1,,1,,,,,1,556,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
78,松山青少年交流館,マツヤマセイショウネンコウリュウカン,宮城県大崎市松山千石字松山428,,38.511925,141.051375,,0229-55-2215,,42153,宮城県,大崎市,1,,,1,,,,,1,1328,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
79,松山公民館,マツヤマコウミンカン,宮城県大崎市松山千石字松山428,,38.511569,141.051147,,0229-55-2215,,42153,宮城県,大崎市,1,,,1,,,,,1,346,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
80,松山老人福祉ｾﾝﾀｰ,マツヤマロウジンフクシセンター,宮城県大崎市松山千石字松山428,,38.511348,141.051385,,0229-55-2215,,42153,宮城県,大崎市,1,1,,1,,,,,1,281,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
81,松山高等学校,マツヤマコウトウガッコウ,宮城県大崎市松山千石字松山1-1,,38.511687,141.049359,,0229-55-2313,,42153,宮城県,大崎市,1,1,,1,,,,,1,800,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
82,松山B&G海洋ｾﾝﾀｰ,マツヤマビーアンドジーカイヨウセンター,宮城県大崎市松山千石字新広岡台45,,38.517788,141.0449,,0229-55-2800,,42153,宮城県,大崎市,1,1,,1,,,,,1,591,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
83,松山体育研修ｾﾝﾀｰ,マツヤマタイイクケンシュウセンター,宮城県大崎市松山千石字新広岡台7,,38.517474,141.046053,,0229-55-2800,,42153,宮城県,大崎市,1,1,,1,,,,,1,250,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
84,松山中学校,マツヤマチュウガッコウ,宮城県大崎市松山千石字新広岡台150,,38.516652,141.043031,,0229-55-3118,,42153,宮城県,大崎市,1,1,,1,,,,,1,2676,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
85,下伊場野小学校,シモイバノショウガッコウ,宮城県大崎市松山下伊場野字大柳22,,38.530026,141.003826,,0229-55-3161,,42153,宮城県,大崎市,,1,,1,,,,,1,1216,1,,,松山地域の避難所は，「松山Ｂ＆Ｇ海洋センター」を優先的に開設する。避難所が不足すると判断した場合は安全がとれた施設から順次開設する。地震時福祉避難所は「松山保健福祉センター」とする。風水害福祉避難所は「松山体育研修センター」とする。
86,斉田生活ｾﾝﾀｰ,サイダセイカツセンター,宮城県大崎市三本木斉田字堤防内2-3,,38.523838,140.906971,,0229-52-2222,,42153,宮城県,大崎市,,1,,1,,,,,,53,1,,,
87,音無集会所,オトナシシュウカイジョ,宮城県大崎市三本木音無字前岩井22,,38.512864,140.904077,,－,,42153,宮城県,大崎市,,1,,1,,,,,,43,1,,,
88,三本木上三区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギカミサンクコミュニティセンター,宮城県大崎市三本木坂本字寺島11-2,,38.517883,140.90653,,－,,42153,宮城県,大崎市,,1,,1,,,,,,90,1,,,
89,三本木ふるさと研修ｾﾝﾀｰ,サンボンギフルサトケンシュウセンター,宮城県大崎市三本木蟻ヶ袋字山畑9-27,,38.520107,140.92621,,0229-52-2925,,42153,宮城県,大崎市,1,1,,1,,,,,,150,1,,,
90,三本木伊賀集会所,サンボンギイガシュウカイジョ,宮城県大崎市三本木伊賀字中伊賀11-2,,38.492933,140.935689,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,62,1,,,
91,三本木混内山集会所,サンボンギコンナイザンシュウカイジョ,宮城県大崎市三本木蟻ヶ袋字混内山1-1,,38.521258,140.933914,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,83,1,,,
92,三本木新町ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギシンマチコミュニティセンター,宮城県大崎市三本木新町一丁目9-7,,38.519106,140.934748,,0229-52-2464,,42153,宮城県,大崎市,1,1,,1,,,,,,84,1,,,
93,三本木南新町ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギミナミシンマチコミュニティセンター,宮城県大崎市三本木新町二丁目20-7,,38.514589,140.934445,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,105,1,,,
94,三本木中学校,サンボンギチュウガッコウ,宮城県大崎市三本木字鹿野沢78-2,,38.523658,140.941692,,0229-52-3056,,42153,宮城県,大崎市,1,1,,1,,,,,1,2884,1,,,土砂災害時校舎。収容地区：三本木地域全行政区
95,三本木小学校,サンボンギショウガッコウ,宮城県大崎市三本木字天王沢19,,38.524462,140.944008,,0229-52-2019,,42153,宮城県,大崎市,1,1,,1,,,,,1,3348,1,,,土砂災害時西校舎。予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
96,三本木保健福祉ｾﾝﾀｰ,サンボンギホケンフクシセンター,宮城県大崎市三本木字大豆坂24-3,,38.519433,140.937703,,0229-52-2114,,42153,宮城県,大崎市,1,1,,1,,,,,,1512,1,,,福祉避難所
97,三本木南町地区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギミナミマチチクコミュニティセンター,宮城県大崎市三本木字鹿野沢81－1,,38.52381,140.940257,,0229-52-3223,,42153,宮城県,大崎市,1,1,,1,,,,,,143,1,,,
98,三本木総合支所,サンボンギソウゴウシショ,宮城県大崎市三本木字大豆坂24-3,,38.520145,140.93837,,0229-52-2111,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,予備・指定避難所（最寄りの指定避難所で避難者を収容しきれない場合等に開設する）
99,旧三本木公民館,キュウサンボンギコウミンカン,宮城県大崎市三本木字西沢33-1,,38.525383,140.947794,,0229-52-5852,,42153,宮城県,大崎市,1,,,1,,,,,,0,1,,,
100,道の駅三本木やまなみ(上り),ミチノエキサンボンギヤマナミ（ノボリ）,宮城県大崎市三本木字鹿野沢7－19,,38.52091,140.9392,,－,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
101,道の駅三本木やまなみ(下り),ミチノエキサンボンギヤマナミ（クダリ）,宮城県大崎市三本木字大豆坂63－14,,38.52205,140.93868,,0229-53-1333,,42153,宮城県,大崎市,1,1,,1,,,,,,0,1,,,
102,三本木仲町地区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギナカマチチクコミュニティセンター,宮城県大崎市三本木字大谷11,,38.528316,140.949425,,0229-52-6898,,42153,宮城県,大崎市,,1,,1,,,,,,92,1,,,
103,三本木北町地区ｺﾐｭﾆﾃｨｾﾝﾀｰ,サンボンギキタマチチクコミュニティセンター,宮城県大崎市三本木字善並田121-1,,38.531145,140.944603,,0229-52-3924,,42153,宮城県,大崎市,,1,,1,,,,,,73,1,,,
104,三本木南谷地集会所,サンボンギミナミヤチシュウカイジョ,宮城県大崎市三本木字新鹿嶋13-1,,38.528573,140.942137,,0229-52-2392,,42153,宮城県,大崎市,,1,,1,,,,,,70,1,,,
105,三本木総合体育館,サンボンギソウゴウタイイクカン,宮城県大崎市三本木桑折字沼下29-2,,38.523003,140.954833,,0229-52-6171,,42153,宮城県,大崎市,1,1,,1,,,,,1,1862,1,,,
